timestamp,tick,q_stream,t2_stream,anomaly_active,predicted_regime,inventory,dynamic_barrier,ruin_probability,absorbed,round_trips_completed
2026-06-04 09:02:18.600000+00:00,158,,,False,NORMAL,14,50,0.36,False,4
2026-06-04 09:02:20.280000+00:00,159,,,False,NORMAL,13,50,0.37,False,4
2026-06-04 09:02:21.120000+00:00,160,,,False,NORMAL,12,50,0.38,False,4
2026-06-04 09:02:21.960000+00:00,161,,,False,NORMAL,11,50,0.39,False,4
2026-06-04 09:02:22.800000+00:00,162,,,False,NORMAL,10,50,0.4,False,4
2026-06-04 09:02:23.640000+00:00,163,,,False,NORMAL,9,50,0.41000000000000003,False,4
2026-06-04 09:02:24.480000+00:00,164,,,False,NORMAL,10,50,0.4,False,4
2026-06-04 09:02:25.320000+00:00,165,,,False,NORMAL,9,50,0.41000000000000003,False,4
2026-06-04 09:02:26.160000+00:00,166,,,False,NORMAL,8,50,0.42000000000000004,False,4
2026-06-04 09:02:27+00:00,167,,,False,NORMAL,7,50,0.43000000000000005,False,4
2026-06-04 09:02:27.840000+00:00,168,,,False,NORMAL,6,50,0.43999999999999995,False,4
2026-06-04 09:02:28.680000+00:00,169,,,False,NORMAL,5,50,0.44999999999999996,False,4
2026-06-04 09:02:29.520000+00:00,170,,,False,NORMAL,4,50,0.45999999999999996,False,4
2026-06-04 09:02:30.360000+00:00,171,,,False,NORMAL,3,50,0.47,False,4
2026-06-04 09:02:31.200000+00:00,172,,,False,NORMAL,4,50,0.45999999999999996,False,4
2026-06-04 09:02:32.040000+00:00,173,,,False,NORMAL,3,50,0.47,False,4
2026-06-04 09:02:32.880000+00:00,174,,,False,NORMAL,4,50,0.45999999999999996,False,4
2026-06-04 09:02:33.720000+00:00,175,,,False,NORMAL,5,50,0.44999999999999996,False,4
2026-06-04 09:02:34.560000+00:00,176,,,False,NORMAL,4,50,0.45999999999999996,False,4
2026-06-04 09:02:35.400000+00:00,177,,,False,NORMAL,5,50,0.44999999999999996,False,4
2026-06-04 09:02:36.240000+00:00,178,,,False,NORMAL,4,50,0.45999999999999996,False,4
2026-06-04 09:02:37.080000+00:00,179,,,False,NORMAL,3,50,0.47,False,4
2026-06-04 09:02:37.920000+00:00,180,,,False,NORMAL,2,50,0.48,False,4
2026-06-04 09:02:38.760000+00:00,181,,,False,NORMAL,3,50,0.47,False,4
2026-06-04 09:02:39.600000+00:00,182,,,False,NORMAL,4,50,0.45999999999999996,False,4
2026-06-04 09:02:40.440000+00:00,183,,,False,NORMAL,5,50,0.44999999999999996,False,4
2026-06-04 09:02:41.280000+00:00,184,,,False,NORMAL,4,50,0.45999999999999996,False,4
2026-06-04 09:02:42.120000+00:00,185,,,False,NORMAL,5,50,0.44999999999999996,False,4
2026-06-04 09:02:42.960000+00:00,186,,,False,NORMAL,4,50,0.45999999999999996,False,4
2026-06-04 09:02:43.800000+00:00,187,,,False,NORMAL,3,50,0.47,False,4
2026-06-04 09:02:44.640000+00:00,188,,,False,NORMAL,2,50,0.48,False,4
2026-06-04 09:02:45.480000+00:00,189,,,False,NORMAL,1,50,0.49,False,4
2026-06-04 09:02:46.320000+00:00,190,,,False,NORMAL,0,50,0.5,False,5
2026-06-04 09:02:47.160000+00:00,191,,,False,NORMAL,1,50,0.49,False,5
2026-06-04 09:02:48+00:00,192,,,False,NORMAL,2,50,0.48,False,5
2026-06-04 09:02:48.840000+00:00,193,,,False,NORMAL,3,50,0.47,False,5
2026-06-04 09:02:49.680000+00:00,194,,,False,NORMAL,2,50,0.48,False,5
2026-06-04 09:02:50.520000+00:00,195,,,False,NORMAL,3,50,0.47,False,5
2026-06-04 09:02:52.200000+00:00,196,,,False,NORMAL,4,50,0.45999999999999996,False,5
2026-06-04 09:02:53.040000+00:00,197,,,False,NORMAL,3,50,0.47,False,5
2026-06-04 09:02:53.880000+00:00,198,,,False,NORMAL,2,50,0.48,False,5
2026-06-04 09:02:54.720000+00:00,199,,,False,NORMAL,3,50,0.47,False,5
2026-06-04 09:02:55.560000+00:00,200,,,False,NORMAL,4,50,0.45999999999999996,False,5
2026-06-04 09:02:56.400000+00:00,201,,,False,NORMAL,5,50,0.44999999999999996,False,5
2026-06-04 09:02:57.240000+00:00,202,,,False,NORMAL,4,50,0.45999999999999996,False,5
2026-06-04 09:02:58.080000+00:00,203,,,False,NORMAL,5,50,0.44999999999999996,False,5
2026-06-04 09:02:58.920000+00:00,204,,,False,NORMAL,4,50,0.45999999999999996,False,5
2026-06-04 09:02:59.760000+00:00,205,,,False,NORMAL,3,50,0.47,False,5
2026-06-04 09:03:00.600000+00:00,206,,,False,NORMAL,2,50,0.48,False,5
2026-06-04 09:03:01.440000+00:00,207,,,False,NORMAL,3,50,0.47,False,5
2026-06-04 09:03:02.280000+00:00,208,,,False,NORMAL,4,50,0.45999999999999996,False,5
2026-06-04 09:03:03.120000+00:00,209,,,False,NORMAL,3,50,0.47,False,5
2026-06-04 09:03:03.960000+00:00,210,,,False,NORMAL,2,50,0.48,False,5
2026-06-04 09:03:04.800000+00:00,211,,,False,NORMAL,3,50,0.47,False,5
2026-06-04 09:03:05.640000+00:00,212,,,False,NORMAL,4,50,0.45999999999999996,False,5
2026-06-04 09:03:06.480000+00:00,213,,,False,NORMAL,3,50,0.47,False,5
2026-06-04 09:03:07.320000+00:00,214,,,False,NORMAL,4,50,0.45999999999999996,False,5
2026-06-04 09:03:08.160000+00:00,215,,,False,NORMAL,5,50,0.44999999999999996,False,5
2026-06-04 09:03:09+00:00,216,,,False,NORMAL,6,50,0.43999999999999995,False,5
2026-06-04 09:03:09.840000+00:00,217,,,False,NORMAL,7,50,0.43000000000000005,False,5
2026-06-04 09:03:10.680000+00:00,218,,,False,NORMAL,8,50,0.42000000000000004,False,5
2026-06-04 09:03:11.520000+00:00,219,,,False,NORMAL,9,50,0.41000000000000003,False,5
2026-06-04 09:03:12.360000+00:00,220,,,False,NORMAL,8,50,0.42000000000000004,False,5
2026-06-04 09:03:13.200000+00:00,221,,,False,NORMAL,9,50,0.41000000000000003,False,5
2026-06-04 09:03:14.040000+00:00,222,,,False,NORMAL,8,50,0.42000000000000004,False,5
2026-06-04 09:03:14.880000+00:00,223,,,False,NORMAL,7,50,0.43000000000000005,False,5
2026-06-04 09:03:15.720000+00:00,224,,,False,NORMAL,6,50,0.43999999999999995,False,5
2026-06-04 09:03:16.560000+00:00,225,,,False,NORMAL,7,50,0.43000000000000005,False,5
2026-06-04 09:03:17.400000+00:00,226,,,False,NORMAL,6,50,0.43999999999999995,False,5
2026-06-04 09:03:18.240000+00:00,227,,,False,NORMAL,7,50,0.43000000000000005,False,5
2026-06-04 09:03:19.080000+00:00,228,,,False,NORMAL,6,50,0.43999999999999995,False,5
2026-06-04 09:03:19.920000+00:00,229,,,False,NORMAL,7,50,0.43000000000000005,False,5
2026-06-04 09:03:20.760000+00:00,230,,,False,NORMAL,6,50,0.43999999999999995,False,5
